"Date","Price","Open","High","Low","Change %"
"03/26/1999","4.501","4.501","4.501","4.501","-0.02%"
"03/25/1999","4.502","4.502","4.502","4.502","0.45%"
"03/24/1999","4.482","4.482","4.482","4.482","-0.24%"
"03/23/1999","4.493","4.493","4.493","4.493","-0.13%"
"03/22/1999","4.499","4.499","4.499","4.499","-0.04%"
"03/19/1999","4.501","4.501","4.501","4.501","0.20%"
"03/18/1999","4.492","4.492","4.492","4.492","-0.71%"
"03/17/1999","4.524","4.524","4.524","4.524","-0.24%"
"03/16/1999","4.535","4.535","4.535","4.535","-1.13%"
"03/15/1999","4.587","4.587","4.587","4.587","0.31%"
"03/12/1999","4.573","4.573","4.573","4.573","-0.72%"
"03/11/1999","4.606","4.606","4.606","4.606","0.44%"
"03/10/1999","4.586","4.586","4.586","4.586","-0.02%"
"03/09/1999","4.587","4.587","4.587","4.587","-0.39%"
"03/08/1999","4.605","4.605","4.605","4.605","-0.22%"
"03/05/1999","4.615","4.615","4.615","4.615","0.20%"
"03/04/1999","4.606","4.606","4.606","4.606","0.22%"
"03/03/1999","4.596","4.596","4.596","4.596","-0.69%"
"03/02/1999","4.628","4.628","4.628","4.628","-1.57%"
"03/01/1999","4.702","4.702","4.702","4.702","0.97%"
"02/26/1999","4.657","4.657","4.657","4.657","0.93%"
"02/25/1999","4.614","4.614","4.614","4.614","-0.69%"
"02/24/1999","4.646","4.646","4.646","4.646","-0.24%"
"02/23/1999","4.657","4.657","4.657","4.657","1.11%"
"02/22/1999","4.606","4.606","4.606","4.606","1.45%"
"02/19/1999","4.540","4.540","4.540","4.540","0.64%"
"02/18/1999","4.511","4.511","4.511","4.511","-0.24%"
"02/17/1999","4.522","4.522","4.522","4.522","0.00%"
"02/16/1999","4.522","4.522","4.522","4.522","0.07%"
"02/12/1999","4.519","4.519","4.519","4.519","0.65%"
"02/11/1999","4.490","4.490","4.490","4.490","0.67%"
"02/10/1999","4.460","4.460","4.460","4.460","-0.51%"
"02/09/1999","4.483","4.483","4.483","4.483","-0.02%"
"02/08/1999","4.484","4.484","4.484","4.484","-0.09%"
"02/05/1999","4.488","4.488","4.488","4.488","0.43%"
"02/04/1999","4.469","4.469","4.469","4.469","-0.02%"
"02/03/1999","4.470","4.470","4.470","4.470","-0.93%"
"02/02/1999","4.512","4.512","4.512","4.512","0.56%"
"02/01/1999","4.487","4.487","4.487","4.487","0.90%"
"01/29/1999","4.447","4.447","4.447","4.447","-0.49%"
"01/28/1999","4.469","4.469","4.469","4.469","1.15%"
"01/27/1999","4.418","4.418","4.418","4.418","-0.72%"
"01/26/1999","4.450","4.450","4.450","4.450","0.70%"
"01/25/1999","4.419","4.419","4.419","4.419","1.75%"
"01/22/1999","4.343","4.343","4.343","4.343","1.16%"
"01/21/1999","4.293","4.293","4.293","4.293","-1.45%"
"01/20/1999","4.356","4.356","4.356","4.356","-0.48%"
"01/19/1999","4.377","4.377","4.377","4.377","-0.86%"
"01/15/1999","4.415","4.415","4.415","4.415","0.18%"
"01/14/1999","4.407","4.407","4.407","4.407","-0.47%"
"01/13/1999","4.428","4.428","4.428","4.428","-0.94%"
"01/12/1999","4.470","4.470","4.470","4.470","-0.89%"
"01/11/1999","4.510","4.510","4.510","4.510","1.30%"
"01/08/1999","4.452","4.452","4.452","4.452","0.77%"
"01/07/1999","4.418","4.418","4.418","4.418","-0.59%"
"01/06/1999","4.444","4.444","4.444","4.444","-0.71%"
"01/05/1999","4.476","4.476","4.476","4.476","0.11%"
"01/04/1999","4.471","4.471","4.471","4.471","0.07%"
"12/31/1998","4.468","4.468","4.468","4.468","-1.41%"
"12/30/1998","4.532","4.532","4.532","4.532","-1.37%"
"12/29/1998","4.595","4.595","4.595","4.595","1.37%"
"12/28/1998","4.533","4.533","4.533","4.533","-0.61%"
"12/24/1998","4.561","4.561","4.561","4.561","-0.04%"
"12/23/1998","4.563","4.563","4.563","4.563","1.13%"
"12/22/1998","4.512","4.512","4.512","4.512","0.51%"
"12/21/1998","4.489","4.489","4.489","4.489","0.47%"
"12/18/1998","4.468","4.468","4.468","4.468","0.20%"
"12/17/1998","4.459","4.459","4.459","4.459","0.81%"
"12/16/1998","4.423","4.423","4.423","4.423","-1.05%"
"12/15/1998","4.470","4.470","4.470","4.470","0.38%"
"12/14/1998","4.453","4.453","4.453","4.453","-0.78%"
"12/11/1998","4.488","4.488","4.488","4.488","0.65%"
"12/10/1998","4.459","4.459","4.459","4.459","0.93%"
"12/09/1998","4.418","4.418","4.418","4.418","0.34%"
"12/08/1998","4.403","4.403","4.403","4.403","-0.83%"
"12/07/1998","4.440","4.440","4.440","4.440","-0.63%"
"12/04/1998","4.468","4.468","4.468","4.468","0.90%"
"12/03/1998","4.428","4.428","4.428","4.428","-0.72%"
"12/02/1998","4.460","4.460","4.460","4.460","-0.47%"
"12/01/1998","4.481","4.481","4.481","4.481","-0.47%"
"11/30/1998","4.502","4.502","4.502","4.502","-0.62%"
"11/27/1998","4.530","4.530","4.530","4.530","-0.48%"
"11/25/1998","4.552","4.552","4.552","4.552","-1.15%"
"11/24/1998","4.605","4.605","4.605","4.605","2.52%"
"11/23/1998","4.492","4.492","4.492","4.492","0.79%"
"11/20/1998","4.457","4.457","4.457","4.457","0.43%"
"11/19/1998","4.438","4.438","4.438","4.438","0.23%"
"11/18/1998","4.428","4.428","4.428","4.428","0.57%"
"11/17/1998","4.403","4.403","4.403","4.403","-2.20%"
"11/16/1998","4.502","4.502","4.502","4.502","1.24%"
"11/13/1998","4.447","4.447","4.447","4.447","-0.27%"
"11/12/1998","4.459","4.459","4.459","4.459","-2.28%"
"11/11/1998","4.563","4.563","4.563","4.563","0.22%"
"11/10/1998","4.553","4.553","4.553","4.553","-0.48%"
"11/09/1998","4.575","4.575","4.575","4.575","-1.49%"
"11/06/1998","4.644","4.644","4.644","4.644","3.20%"
